date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:27	16583/16583	---M--	200	added ('OK')	image/jpeg	etag:%2240c7-5e49fb4df0140%22	https://mophy.dexignzone.com/xhtml/images/product/7.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/product/7.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-grid.html)
20:27:27	1387/1387	---M--	200	added ('OK')	text/css	etag:%2256b-5e49fa9210600%22	https://mophy.dexignzone.com/xhtml/vendor/star-rating/star-rating-svg.css	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/star-rating/star-rating-svg.css	(from https://mophy.dexignzone.com/xhtml/ecom-product-list.html)
20:27:28	1503/1503	---M--	200	added ('OK')	application/x-javascript	etag:%225df-5e49fa9210600%22	https://mophy.dexignzone.com/xhtml/vendor/star-rating/jquery.star-rating-svg.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/star-rating/jquery.star-rating-svg.js	(from https://mophy.dexignzone.com/xhtml/ecom-product-list.html)
20:27:28	10121/10121	---M--	200	added ('OK')	image/jpeg	etag:%222789-5e49fb79ce8c0%22	https://mophy.dexignzone.com/xhtml/images/tab/1.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/tab/1.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-detail.html)
20:27:28	526739/526739	---M--	200	added ('OK')	application/x-javascript	etag:%2280993-5e49fa5f84ec0%22	https://mophy.dexignzone.com/xhtml/vendor/highlightjs/highlight.pack.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/highlightjs/highlight.pack.min.js	(from https://mophy.dexignzone.com/xhtml/ecom-product-grid.html)
20:27:28	8348/8348	---M--	200	added ('OK')	image/jpeg	etag:%22209c-5e49fb7caaf80%22	https://mophy.dexignzone.com/xhtml/images/tab/2.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/tab/2.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-detail.html)
20:27:29	10549/10549	---M--	200	added ('OK')	image/jpeg	etag:%222935-5e49fb79ce8c0%22	https://mophy.dexignzone.com/xhtml/images/tab/3.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/tab/3.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-detail.html)
20:27:29	7016/7016	---M--	200	added ('OK')	image/jpeg	etag:%221b68-5e49fb7caaf80%22	https://mophy.dexignzone.com/xhtml/images/tab/4.jpg	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/tab/4.jpg	(from https://mophy.dexignzone.com/xhtml/ecom-product-detail.html)
20:27:29	7738/7738	---M--	200	added ('OK')	image/png	etag:%221e3a-5e49fa06d3d80%22	https://mophy.dexignzone.com/xhtml/images/qr.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/qr.png	(from https://mophy.dexignzone.com/xhtml/ecom-invoice.html)
20:27:30	482/482	---M--	200	added ('OK')	image/png	etag:%221e2-5e49fb13c3800%22	https://mophy.dexignzone.com/xhtml/images/avatar/5.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/avatar/5.png	(from https://mophy.dexignzone.com/xhtml/ecom-customers.html)
20:27:30	2407/2407	---M--	200	added ('OK')	image/png	etag:%22967-5e49faf53f000%22	https://mophy.dexignzone.com/xhtml/images/avatar/1.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/avatar/1.png	(from https://mophy.dexignzone.com/xhtml/ecom-customers.html)
20:27:31	24629/24629	---M--	200	added ('OK')	application/x-javascript	etag:%226035-5e49fa5507600%22	https://mophy.dexignzone.com/xhtml/vendor/flot/jquery.flot.pie.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/flot/jquery.flot.pie.js	(from https://mophy.dexignzone.com/xhtml/chart-flot.html)
20:27:31	126139/126139	---M--	200	added ('OK')	application/x-javascript	etag:%221ecbb-5e49fa5507600%22	https://mophy.dexignzone.com/xhtml/vendor/flot/jquery.flot.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/flot/jquery.flot.js	(from https://mophy.dexignzone.com/xhtml/chart-flot.html)
20:27:31	3373/3373	---M--	200	added ('OK')	application/x-javascript	etag:%22d2d-5e49fa57e3cc0%22	https://mophy.dexignzone.com/xhtml/vendor/flot/jquery.flot.resize.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/flot/jquery.flot.resize.js	(from https://mophy.dexignzone.com/xhtml/chart-flot.html)
20:27:32	1756/1756	---M--	200	added ('OK')	application/x-javascript	etag:%226dc-5e49fa5bb45c0%22	https://mophy.dexignzone.com/xhtml/vendor/flot-spline/jquery.flot.spline.min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/flot-spline/jquery.flot.spline.min.js	(from https://mophy.dexignzone.com/xhtml/chart-flot.html)
20:27:32	10880/10880	---M--	200	added ('OK')	application/x-javascript	etag:%222a80-5e4adfd6ff000%22	https://mophy.dexignzone.com/xhtml/js/plugins-init/flot-init.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/js/plugins-init/flot-init.js	(from https://mophy.dexignzone.com/xhtml/chart-flot.html)
20:27:33	90656/90656	---M--	200	added ('OK')	application/x-javascript	etag:%2216220-5e49fa7e096c0%22	https://mophy.dexignzone.com/xhtml/vendor/morris/raphael-min.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/morris/raphael-min.js	(from https://mophy.dexignzone.com/xhtml/chart-morris.html)
